City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavaratti,IN,2019-11-05 23:07:52,10.57,72.64,80.92,82,21,13.24
1,Nicoya,CR,2019-11-05 23:07:52,10.15,-85.45,87.8,55,20,13.87
2,Busselton,AU,2019-11-05 23:03:10,-33.64,115.35,54.0,66,45,5.14
3,Provideniya,RU,2019-11-05 23:07:52,64.42,-173.23,26.6,79,40,6.71
4,Saint-Leu,RE,2019-11-05 23:07:52,-21.15,55.28,73.4,60,88,6.93
5,San Patricio,PY,2019-11-05 23:07:52,-26.98,-56.83,71.8,85,50,7.72
6,Cape Town,ZA,2019-11-05 23:05:06,-33.93,18.42,66.0,88,75,11.41
7,Cherskiy,RU,2019-11-05 23:07:27,68.75,161.3,12.54,76,63,4.16
8,Terrace,CA,2019-11-05 23:07:53,54.52,-128.61,48.2,81,75,3.36
9,Nioro,GM,2019-11-05 23:07:53,13.79,-15.05,86.81,35,69,8.52
10,Pisco,PE,2019-11-05 23:07:53,-13.71,-76.2,71.6,30,0,19.46
11,Yumen,CN,2019-11-05 23:07:54,40.29,97.04,41.11,38,100,8.19
12,Ushuaia,AR,2019-11-05 23:04:52,-54.81,-68.31,33.8,86,90,23.04
13,Vaini,IN,2019-11-05 23:07:54,15.34,74.49,69.51,94,81,2.39
14,Port Elizabeth,US,2019-11-05 23:07:54,39.31,-74.98,59.0,76,1,4.85
15,Panino,RU,2019-11-05 23:07:55,51.65,40.13,51.8,93,81,6.71
16,Castro,CL,2019-11-05 23:05:08,-42.48,-73.76,44.89,95,92,5.41
17,Killybegs,IE,2019-11-05 23:05:09,54.63,-8.45,41.0,94,98,1.01
18,Hilo,US,2019-11-05 23:05:09,19.71,-155.08,84.2,66,40,9.17
19,Padang,ID,2019-11-05 23:05:09,-0.92,100.36,67.8,80,100,1.5
20,Mahebourg,MU,2019-11-05 23:05:09,-20.41,57.7,71.6,88,40,7.38
21,Dikson,RU,2019-11-05 23:05:09,73.51,80.55,1.42,80,94,12.41
22,Rikitea,PF,2019-11-05 23:05:10,-23.12,-134.97,77.4,80,15,5.01
23,Rocha,UY,2019-11-05 23:05:10,-34.48,-54.34,49.64,69,0,4.36
24,Kysyl-Syr,RU,2019-11-05 23:05:10,63.9,122.77,-9.86,95,91,5.23
25,Victoria Point,AU,2019-11-05 23:05:10,-27.58,153.3,78.01,30,0,10.29
26,Nouadhibou,MR,2019-11-05 23:05:10,20.93,-17.03,71.6,68,33,21.92
27,Abu Dhabi,AE,2019-11-05 23:02:03,24.47,54.37,82.4,69,0,2.24
28,Hermanus,ZA,2019-11-05 23:05:11,-34.42,19.24,66.99,73,81,5.01
29,Jamestown,AU,2019-11-05 23:03:16,-33.21,138.6,68.61,33,13,17.6
30,Hobart,AU,2019-11-05 23:05:11,-42.88,147.33,61.0,55,20,16.11
31,Kahului,US,2019-11-05 23:05:12,20.89,-156.47,86.0,58,40,5.82
32,Sturgeon Bay,US,2019-11-05 23:05:12,44.83,-87.38,32.0,46,1,3.36
33,Bluff,AU,2019-11-05 23:05:12,-23.58,149.07,75.72,18,24,11.7
34,Shache,CN,2019-11-05 23:05:12,38.42,77.24,52.0,72,100,5.99
35,Ilulissat,GL,2019-11-05 23:05:13,69.22,-51.1,30.2,46,40,10.29
36,Lerwick,GB,2019-11-05 23:05:13,60.15,-1.15,39.2,80,98,8.05
37,Chuy,UY,2019-11-05 23:05:13,-33.69,-53.46,55.67,68,0,6.69
38,Tuktoyaktuk,CA,2019-11-05 23:05:13,69.44,-133.03,17.6,85,75,16.11
39,Kirakira,SB,2019-11-05 23:05:13,-10.46,161.92,83.7,66,69,5.3
40,Porto Velho,BR,2019-11-05 23:05:14,-8.75,-63.87,82.4,78,20,2.24
41,Norman Wells,CA,2019-11-05 23:02:31,65.28,-126.83,15.8,78,75,6.93
42,San Cristobal,HN,2019-11-05 23:05:14,14.68,-86.92,67.46,89,32,3.15
43,Yellowknife,CA,2019-11-05 23:05:15,62.45,-114.38,14.0,66,75,11.41
44,Presidencia Roque Saenz Pena,AR,2019-11-05 23:05:15,-26.79,-60.44,75.4,67,1,10.6
45,Kodiak,US,2019-11-05 23:05:15,39.95,-94.76,53.6,53,40,5.82
46,Cartagena Del Chaira,CO,2019-11-05 23:05:15,1.33,-74.84,75.2,88,35,2.44
47,Redcar,GB,2019-11-05 23:05:16,54.62,-1.06,45.0,100,20,4.7
48,New Norfolk,AU,2019-11-05 23:05:16,-42.78,147.06,62.01,38,20,16.11
49,Butaritari,KI,2019-11-05 23:05:16,3.07,172.79,84.04,76,1,11.74
50,Flinders,AU,2019-11-05 23:05:16,-34.58,150.85,71.01,29,0,21.92
51,Khatanga,RU,2019-11-05 23:05:17,71.98,102.47,-5.46,84,0,10.29
52,Arraial Do Cabo,BR,2019-11-05 23:05:17,-22.97,-42.02,82.4,74,75,3.36
53,Dingle,PH,2019-11-05 23:05:17,11.0,122.67,80.19,84,91,9.31
54,Labuan,BN,2019-11-05 23:05:17,5.28,115.24,75.2,94,90,4.7
55,Saint-Philippe,CA,2019-11-05 23:05:18,45.36,-73.48,46.99,81,90,12.75
56,Punta Arenas,CL,2019-11-05 23:05:18,-53.16,-70.91,41.0,86,75,14.99
57,Hamilton,CA,2019-11-05 23:02:05,43.26,-79.87,45.0,65,75,9.17
58,Beder,HR,2019-11-05 23:05:18,45.81,15.61,54.0,100,100,8.05
59,Albany,US,2019-11-05 23:01:45,42.65,-73.75,52.0,57,40,9.17
60,Cabra,ES,2019-11-05 23:05:19,37.47,-4.43,53.01,76,20,4.7
61,Kapaa,US,2019-11-05 23:05:19,22.08,-159.32,82.4,74,40,9.17
62,Vila Velha,BR,2019-11-05 23:05:19,-3.71,-38.6,80.6,74,20,10.29
63,Nemuro,JP,2019-11-05 23:02:21,43.32,145.57,44.49,60,12,31.56
64,Kayerkan,RU,2019-11-05 23:05:19,69.35,87.76,12.2,72,40,20.13
65,Kavieng,PG,2019-11-05 23:05:19,-2.57,150.8,82.17,81,100,19.66
66,Cabo San Lucas,MX,2019-11-05 23:05:20,22.89,-109.91,86.0,62,75,4.7
67,Camacha,PT,2019-11-05 23:05:20,33.08,-16.33,66.2,68,40,11.41
68,Thunder Bay,CA,2019-11-05 23:03:31,48.41,-89.26,24.8,49,75,16.11
69,Lagoa,PT,2019-11-05 23:05:20,37.14,-8.45,57.99,82,0,5.82
70,Palmer,AU,2019-11-05 23:05:20,-34.85,139.16,66.99,68,75,25.28
71,Pringsewu,ID,2019-11-05 23:05:21,-5.36,104.98,74.84,83,46,6.13
72,Arman,RU,2019-11-05 23:05:21,59.7,150.17,33.57,62,100,22.26
73,Thompson,CA,2019-11-05 23:00:44,55.74,-97.86,8.6,78,75,5.82
74,Victoria,BN,2019-11-05 23:05:21,5.28,115.24,75.2,94,90,4.7
75,Genhe,CN,2019-11-05 23:05:22,50.78,121.52,7.95,68,90,3.18
76,Rantepao,ID,2019-11-05 23:05:22,-2.97,119.9,75.33,67,90,1.68
77,Cockburn Town,TC,2019-11-05 23:05:22,21.46,-71.14,82.35,76,0,15.55
78,Eureka,US,2019-11-05 23:05:22,40.8,-124.16,68.0,87,1,11.41
79,Tsumeb,NA,2019-11-05 23:05:23,-19.25,17.72,76.42,36,53,1.3
80,Ribeira Grande,PT,2019-11-05 23:05:23,38.52,-28.7,58.69,70,57,2.77
81,Bambous Virieux,MU,2019-11-05 23:05:23,-20.34,57.76,71.6,88,40,12.19
82,Nikolskoye,RU,2019-11-05 23:05:23,59.7,30.79,36.0,74,90,15.66
83,Bredasdorp,ZA,2019-11-05 23:05:24,-34.53,20.04,66.99,77,93,3.11
84,Guerrero Negro,MX,2019-11-05 23:05:24,27.97,-114.04,69.22,66,68,14.2
85,Hanstholm,DK,2019-11-05 23:05:24,57.12,8.61,37.99,85,100,3.0
86,Cartagena,ES,2019-11-05 23:05:24,37.63,-1.0,59.0,58,0,6.93
87,Alofi,NU,2019-11-05 23:01:54,-19.06,-169.92,78.8,61,40,13.87
88,Chokurdakh,RU,2019-11-05 23:05:25,70.62,147.9,-1.23,96,84,2.93
89,Oktyabrskoye,RU,2019-11-05 23:05:25,56.73,85.44,32.0,84,75,15.66
90,Dunedin,NZ,2019-11-05 23:01:26,-45.87,170.5,55.0,69,99,15.01
91,Saskylakh,RU,2019-11-05 23:05:25,71.97,114.09,-8.13,97,78,5.53
92,Quelimane,MZ,2019-11-05 23:05:26,-17.88,36.89,75.2,83,10,2.24
93,Port Alfred,ZA,2019-11-05 23:05:26,-33.59,26.89,66.0,74,61,6.91
94,Kaitangata,NZ,2019-11-05 23:05:26,-46.28,169.85,55.0,70,27,11.01
95,Fuxin,CN,2019-11-05 23:05:26,42.02,121.65,36.1,25,92,3.18
96,Upernavik,GL,2019-11-05 23:05:26,72.79,-56.15,17.55,67,100,4.7
97,Lata,IN,2019-11-05 23:05:27,30.78,78.62,24.28,23,0,2.71
98,Avarua,CK,2019-11-05 23:05:27,-21.21,-159.78,75.2,73,100,4.7
99,Saint-Augustin,CA,2019-11-05 23:05:27,45.63,-73.98,46.4,87,75,11.41
100,Saint George,GR,2019-11-05 23:05:27,39.45,22.34,53.6,81,20,4.7
101,Rio Verde De Mato Grosso,BR,2019-11-05 23:05:27,-18.92,-54.84,81.3,60,92,12.84
102,Meulaboh,ID,2019-11-05 23:05:28,4.14,96.13,80.1,79,47,10.04
103,Coahuayana,MX,2019-11-05 23:05:28,18.62,-100.35,77.43,74,0,1.21
104,Lavrentiya,RU,2019-11-05 23:05:28,65.58,-170.99,25.39,82,36,10.38
105,Honningsvag,NO,2019-11-05 23:05:28,70.98,25.97,33.8,80,40,17.22
106,Puerto Del Rosario,ES,2019-11-05 23:05:28,28.5,-13.86,68.0,68,40,14.99
107,Fomboni,KM,2019-11-05 23:05:28,-12.28,43.74,80.6,80,30,10.67
108,Atkinson,US,2019-11-05 23:05:29,41.42,-90.02,41.0,51,20,9.17
109,Kulmbach,DE,2019-11-05 23:05:29,50.1,11.45,42.01,95,90,2.26
110,Severo-Kurilsk,RU,2019-11-05 23:05:29,50.68,156.12,35.1,84,85,19.35
111,Muros,ES,2019-11-05 23:05:29,42.77,-9.06,54.0,100,40,2.24
112,Yangjiang,CN,2019-11-05 23:05:30,21.85,111.96,66.25,58,0,3.89
113,Coquimbo,CL,2019-11-05 23:05:30,-29.95,-71.34,59.0,82,0,12.75
114,Mataura,NZ,2019-11-05 23:05:30,-46.19,168.86,61.0,63,91,1.99
115,Piacabucu,BR,2019-11-05 23:05:30,-10.41,-36.43,76.95,78,19,12.48
116,Haines Junction,CA,2019-11-05 23:05:31,60.75,-137.51,11.44,87,100,1.83
117,Glenwood Springs,US,2019-11-05 23:05:31,39.55,-107.33,60.8,47,1,9.17
118,Puerto Ayora,EC,2019-11-05 23:05:31,-0.74,-90.35,78.8,65,20,11.41
119,Baykit,RU,2019-11-05 23:05:31,61.68,96.39,11.82,96,100,3.27
120,Antofagasta,CL,2019-11-05 23:05:32,-23.65,-70.4,60.8,72,75,13.87
121,Port Lincoln,AU,2019-11-05 23:05:32,-34.72,135.86,63.7,44,0,18.1
122,Yar-Sale,RU,2019-11-05 23:05:32,66.83,70.83,13.5,90,48,14.05
123,Vila,IT,2019-11-05 23:05:32,45.18,8.4,53.01,100,17,4.7
124,Barrow,AR,2019-11-05 23:05:32,-38.31,-60.23,52.66,58,0,8.55
125,Hay River,CA,2019-11-05 23:05:33,60.82,-115.79,21.2,53,75,20.8
126,Iraucuba,BR,2019-11-05 23:05:33,-3.75,-39.78,77.13,65,11,7.78
127,Cuamba,MZ,2019-11-05 23:05:33,-14.8,36.54,68.31,76,51,4.81
128,Riyadh,SA,2019-11-05 23:03:19,24.63,46.72,71.6,53,0,3.36
129,Pevek,RU,2019-11-05 23:05:33,69.7,170.27,14.14,80,79,5.82
130,Lompoc,US,2019-11-05 23:05:34,34.64,-120.46,75.99,82,1,8.05
131,Lebu,ET,2019-11-05 23:05:21,8.96,38.73,59.0,54,20,9.17
132,Esperance,AU,2019-11-05 23:05:34,-33.86,121.89,57.2,71,75,10.29
133,Hambantota,LK,2019-11-05 23:05:34,6.12,81.12,79.03,80,72,3.8
134,Saint-Francois,FR,2019-11-05 23:05:34,46.42,3.91,46.4,93,100,2.24
135,Tanete,ID,2019-11-05 23:05:35,-3.94,119.78,82.65,67,86,5.5
136,Carnarvon,ZA,2019-11-05 23:05:35,-30.97,22.13,69.6,33,17,6.11
137,Leh,IN,2019-11-05 23:05:35,34.16,77.58,22.37,50,81,3.8
138,Bathsheba,BB,2019-11-05 23:05:35,13.22,-59.52,82.4,74,40,24.16
139,Abuyog,PH,2019-11-05 23:05:36,10.75,125.01,80.55,72,93,4.29
140,Naberera,TZ,2019-11-05 23:05:36,-4.2,36.93,65.34,85,18,6.49
141,Juba,EE,2019-11-05 23:05:36,57.82,26.93,34.0,100,90,5.82
142,Mar Del Plata,AR,2019-11-05 23:05:37,-46.43,-67.52,63.3,33,83,32.32
143,Kutum,SD,2019-11-05 23:05:37,14.2,24.66,67.21,24,0,3.94
144,Beloha,MG,2019-11-05 23:05:37,-25.17,45.06,71.08,81,78,11.7
145,Hithadhoo,MV,2019-11-05 23:05:37,-0.6,73.08,81.5,72,83,6.04
146,Faanui,PF,2019-11-05 23:05:38,-16.48,-151.75,81.57,68,8,7.56
147,Mumbwa,ZM,2019-11-05 23:05:38,-14.99,27.06,70.7,51,37,11.63
148,Atuona,PF,2019-11-05 23:05:38,-9.8,-139.03,80.94,74,14,22.1
149,Bubaque,GW,2019-11-05 23:05:38,11.28,-15.83,84.18,77,33,11.3
150,Phan Thiet,VN,2019-11-05 23:05:38,10.93,108.1,75.27,88,95,3.44
151,Port Blair,IN,2019-11-05 23:05:39,11.67,92.75,81.9,80,89,19.28
